,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38578.0,1.0,76.0,1.0
courtyard_actual,42907.0,2.0,1.0,1.0
lab_actual,5259.0,1.0,36931.0,5.0
lobby_actual,5286.0,1.0,2.0,36154.0
