,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38652.0,2.0,1.0,1.0
courtyard_actual,42475.0,135.0,300.0,1.0
lab_actual,70.0,1.0,39107.0,3018.0
lobby_actual,692.0,1.0,30.0,40720.0
