,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38420.0,233.0,1.0,2.0
courtyard_actual,42890.0,19.0,1.0,1.0
lab_actual,1.0,1.0,42193.0,1.0
lobby_actual,1.0,1.0,9.0,41432.0
