,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
campus,0.003933566433566434,0.007867132867132868,0.02097902097902098,0.005244755244755245,0.07473776223776224,0.0017482517482517483,0.00043706293706293706,0.00043706293706293706,0.017482517482517484,0.8671328671328671
courtyard,0.0016161616161616162,0.12202020202020201,0.0028282828282828283,0.0036363636363636364,0.30707070707070705,0.0008080808080808081,0.00040404040404040404,0.00040404040404040404,0.0048484848484848485,0.5563636363636364
lab,0.007179896290386917,0.06142800159553251,0.8416433984842441,0.013562026326286399,0.0362983645791783,0.0011966493817311527,0.0007977662544874351,0.00039888312724371757,0.027124052652572797,0.010370961308336658
lobby,0.18148450244698205,0.017536704730831975,0.0966557911908646,0.18882544861337683,0.4025285481239804,0.0004078303425774878,0.02406199021207178,0.008156606851549755,0.010603588907014683,0.06973898858075041
