,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,35272.0,3382.0,1.0,1.0
courtyard_actual,154.0,42755.0,1.0,1.0
lab_actual,1.0,54.0,41930.0,211.0
lobby_actual,1.0,15.0,4906.0,36521.0
