,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38577.0,0.0,75.0,0.0
courtyard_actual,42906.0,1.0,0.0,0.0
lab_actual,5258.0,0.0,36930.0,4.0
lobby_actual,5285.0,0.0,1.0,36153.0
