,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,3221.0,35431.0,0.0,0.0
courtyard_actual,9929.0,32953.0,25.0,0.0
lab_actual,0.0,0.0,42192.0,0.0
lobby_actual,0.0,0.0,43.0,41396.0
