,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
campus,12.0,18.0,48.0,13.0,205.0,6.0,0.0,0.0,36.0,1940.0
courtyard,5.0,273.0,8.0,10.0,766.0,2.0,1.0,1.0,18.0,1381.0
lab,15.0,156.0,2110.0,42.0,79.0,1.0,0.0,0.0,64.0,30.0
lobby,478.0,56.0,190.0,467.0,973.0,0.0,67.0,17.0,20.0,174.0
