,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,636.0,38018.0,1.0,1.0
courtyard_actual,1.0,42908.0,1.0,1.0
lab_actual,1.0,1.0,42193.0,1.0
lobby_actual,1.0,2.0,35091.0,6349.0
