,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,30017.0,1276.0,4815.0,2548.0
courtyard_actual,27558.0,5800.0,9550.0,3.0
lab_actual,1.0,1.0,38290.0,3904.0
lobby_actual,1.0,1.0,1.0,41440.0
