,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,35271.0,3381.0,0.0,0.0
courtyard_actual,153.0,42754.0,0.0,0.0
lab_actual,0.0,53.0,41929.0,210.0
lobby_actual,0.0,14.0,4905.0,36520.0
