,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
34,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026388.0754323,0,person,supervisor,none
35,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026388.408718,0,person,supervisor,none
36,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026388.6753745,0,person,supervisor,none
37,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026388.775368,0,person,supervisor,none
38,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026389.1087162,0,person,supervisor,none
39,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026389.2753892,0,person,supervisor,none
40,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026389.6087205,0,person,supervisor,none
41,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026389.8087142,0,person,supervisor,none
42,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026390.1089594,0,person,supervisor,none
43,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026390.3756173,0,person,supervisor,none
44,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026390.5756142,0,person,supervisor,none
45,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026390.9089434,0,person,supervisor,none
