,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.3903330304586576,0.5944178880417177,0.015249081499624699
teammate,0.0005401026194977045,0.9992477142085567,0.00021218317194552678
supervisor,0.0024516699489570354,0.06070897471966561,0.9368393553313774
