,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.48750963762528915,0.5124132613723978,7.710100231303006e-05
teammate,0.0019540409566984524,0.9979677974050336,7.81616382679381e-05
supervisor,0.009869751638216974,0.08445918614998786,0.9056710622117952
