,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
34,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996670.578156,0,person,pedestrian,none
35,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996671.6116672,0,person,pedestrian,none
36,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996672.611662,0,person,pedestrian,none
37,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996673.6449838,0,person,pedestrian,none
38,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996674.644993,0,person,pedestrian,none
39,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996675.6117005,0,person,pedestrian,none
40,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996676.6449752,0,person,pedestrian,none
41,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996677.5783043,0,person,pedestrian,none
42,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996678.6783226,0,person,pedestrian,none
43,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996679.5451531,0,person,pedestrian,none
44,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996680.6117973,0,person,pedestrian,none
45,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996681.5784576,0,person,pedestrian,none
46,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996682.611802,0,person,pedestrian,none
47,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996683.645148,0,person,pedestrian,none
48,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996684.5451415,0,person,pedestrian,none
49,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996685.6118002,0,person,pedestrian,none
50,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996686.6451757,0,person,pedestrian,none
51,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996687.6118393,0,person,pedestrian,none
52,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996688.5784998,0,person,pedestrian,none
53,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996689.6785002,0,person,pedestrian,none
54,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996690.7118335,0,person,pedestrian,none
55,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996691.6451633,0,person,pedestrian,none
56,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996692.5784912,0,person,pedestrian,none
57,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996693.6118078,0,person,pedestrian,none
58,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996693.6118078,0,person,pedestrian,none
59,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996392.4067829,0,person,pedestrian,none
60,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996393.406839,0,person,pedestrian,none
61,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996394.5067875,0,person,pedestrian,none
62,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996395.4734516,0,person,pedestrian,none
63,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996396.5069046,0,person,pedestrian,none
64,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996397.5069053,0,person,pedestrian,none
65,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996398.4402437,0,person,pedestrian,none
66,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,follow-me,visual,artag,1720996399.4069166,0,person,pedestrian,none
