,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.9574776700511489,0.042369646537903656,0.00015268341094740057
teammate,0.01038498627698242,0.9895408352496106,7.417847340701729e-05
supervisor,7.580926389204761e-05,0.014934424986733379,0.9849897657493746
