,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.3041453546072219,0.690281700893198,0.005572944499580121
teammate,7.417847340701729e-05,0.9990356798457087,0.0008901416808842074
supervisor,7.580926389204761e-05,7.580926389204761e-05,0.9998483814722159
