,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.25879899191796296,0.6742852176935779,0.0669157903884592
teammate,0.0003069603253779449,0.9988488987798327,0.0008441408947893485
supervisor,8.816009873931059e-05,0.0002644802962179318,0.9996473596050428
