,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
68,lab,supervisor,gest_verb,move-in-reverse,clip,22,lab,1.0
69,lab,supervisor,gest_verb,move-in-reverse,audio,26,lab,0.9999999999999999
70,lab,supervisor,gest_verb,move-in-reverse,fused,23,lab,1.0
71,lab,supervisor,gest_verb,move-in-reverse,clip,23,lab,1.0
72,lab,supervisor,gest_verb,move-in-reverse,audio,27,lab,1.0
73,lab,supervisor,gest_verb,move-in-reverse,fused,24,lab,1.0
74,lab,supervisor,gest_verb,move-in-reverse,clip,24,lab,1.0
75,lab,supervisor,gest_verb,move-in-reverse,audio,28,lab,1.0
76,lab,supervisor,gest_verb,move-in-reverse,fused,25,lab,1.0
77,lab,supervisor,gest_verb,move-in-reverse,clip,25,lab,1.0
78,lab,supervisor,gest_verb,move-in-reverse,audio,29,lab,1.0
79,lab,supervisor,gest_verb,move-in-reverse,fused,26,lab,1.0
80,lab,supervisor,gest_verb,move-in-reverse,clip,26,lab,1.0
81,lab,supervisor,gest_verb,move-in-reverse,audio,30,lab,1.0
82,lab,supervisor,gest_verb,move-in-reverse,fused,27,lab,1.0
83,lab,supervisor,gest_verb,move-forward,fused,1,lab,0.8263077856260764
84,lab,supervisor,gest_verb,move-forward,audio,1,lab,0.8598316462284636
85,lab,supervisor,gest_verb,move-forward,audio,2,lab,0.9695350754162246
86,lab,supervisor,gest_verb,move-forward,clip,1,lab,0.8775388305109543
87,lab,supervisor,gest_verb,move-forward,audio,3,lab,0.9940153950683872
88,lab,supervisor,gest_verb,move-forward,fused,2,lab,0.9903046897084741
89,lab,supervisor,gest_verb,move-forward,clip,2,lab,0.9958942473583959
90,lab,supervisor,gest_verb,move-forward,audio,4,lab,0.9982913007341307
91,lab,supervisor,gest_verb,move-forward,fused,3,lab,0.9974025550637216
92,lab,supervisor,gest_verb,move-forward,clip,3,lab,0.9998252923519667
93,lab,supervisor,gest_verb,move-forward,audio,5,lab,0.998967738377835
94,lab,supervisor,gest_verb,move-forward,fused,4,lab,0.9998547415813984
95,lab,supervisor,gest_verb,move-forward,clip,4,lab,0.9999846135414585
96,lab,supervisor,gest_verb,move-forward,audio,6,lab,0.9950902807447202
97,lab,supervisor,gest_verb,move-forward,fused,5,lab,0.9992668184316544
98,lab,supervisor,gest_verb,move-forward,clip,5,lab,0.9999988693854761
99,lab,supervisor,gest_verb,move-forward,audio,7,lab,0.9952751740243013
100,lab,supervisor,gest_verb,move-forward,fused,6,lab,0.9999441392399013
101,lab,supervisor,gest_verb,move-forward,audio,8,lab,0.9988113998332033
102,lab,supervisor,gest_verb,move-forward,clip,6,lab,0.9999999792061757
103,lab,supervisor,gest_verb,move-forward,audio,9,lab,0.9991663031977936
104,lab,supervisor,gest_verb,move-forward,fused,7,lab,0.9999604797715433
105,lab,supervisor,gest_verb,move-forward,clip,7,lab,0.9999999995435361
106,lab,supervisor,gest_verb,move-forward,audio,10,lab,0.9997899873082198
107,lab,supervisor,gest_verb,move-forward,fused,8,lab,0.9999991193134526
108,lab,supervisor,gest_verb,move-forward,clip,8,lab,0.9999999999783878
109,lab,supervisor,gest_verb,move-forward,fused,9,lab,0.9999997781503119
110,lab,supervisor,gest_verb,move-forward,audio,11,lab,0.9999470704450021
111,lab,supervisor,gest_verb,move-forward,clip,9,lab,0.9999999999988808
112,lab,supervisor,gest_verb,move-forward,fused,10,lab,0.9999999883169951
113,lab,supervisor,gest_verb,move-forward,clip,10,lab,0.9999999999998873
114,lab,supervisor,gest_verb,move-forward,fused,11,lab,0.9999999970508996
115,lab,supervisor,gest_verb,move-forward,audio,12,lab,0.9999901903007828
116,lab,supervisor,gest_verb,move-forward,clip,11,lab,0.9999999999999961
117,lab,supervisor,gest_verb,move-forward,fused,12,lab,0.9999999998983128
118,lab,supervisor,gest_verb,move-forward,audio,13,lab,0.9999963890415837
119,lab,supervisor,gest_verb,move-forward,clip,12,lab,0.9999999999999999
120,lab,supervisor,gest_verb,move-forward,fused,13,lab,0.9999999999626048
121,lab,supervisor,gest_verb,move-forward,audio,14,lab,0.9999969935382149
122,lab,supervisor,gest_verb,move-forward,clip,13,lab,1.0
123,lab,supervisor,gest_verb,move-forward,fused,14,lab,0.9999999999985103
124,lab,supervisor,gest_verb,move-forward,audio,15,lab,0.9999986225442918
125,lab,supervisor,gest_verb,move-forward,clip,14,lab,1.0
126,lab,supervisor,gest_verb,move-forward,fused,15,lab,0.9999999999993168
127,lab,supervisor,gest_verb,move-forward,audio,16,lab,0.9999997120635701
128,lab,supervisor,gest_verb,move-forward,fused,16,lab,0.9999999999999812
129,lab,supervisor,gest_verb,move-forward,clip,15,lab,1.0
130,lab,supervisor,gest_verb,move-forward,fused,17,lab,0.9999999999999961
131,lab,supervisor,gest_verb,move-forward,audio,17,lab,0.999999572710862
132,lab,supervisor,gest_verb,move-forward,clip,16,lab,1.0
133,lab,supervisor,gest_verb,move-forward,fused,18,lab,0.9999999999999996
134,lab,supervisor,gest_verb,move-forward,clip,17,lab,1.0
135,lab,supervisor,gest_verb,move-forward,audio,18,lab,0.9999999573672146
136,lab,supervisor,gest_verb,move-forward,fused,19,lab,1.0
137,lab,supervisor,gest_verb,move-forward,clip,18,lab,1.0
138,lab,supervisor,gest_verb,move-forward,audio,19,lab,0.9999999957280854
139,lab,supervisor,gest_verb,move-forward,fused,20,lab,1.0
140,lab,supervisor,gest_verb,move-forward,clip,19,lab,1.0
141,lab,supervisor,gest_verb,move-forward,fused,21,lab,1.0
142,lab,supervisor,gest_verb,move-forward,audio,20,lab,0.9999999992218402
143,lab,supervisor,gest_verb,move-forward,clip,20,lab,1.0
144,lab,supervisor,gest_verb,move-forward,fused,22,lab,1.0
145,lab,supervisor,gest_verb,move-forward,audio,21,lab,0.9999999998772879
146,lab,supervisor,gest_verb,move-forward,clip,21,lab,1.0
147,lab,supervisor,gest_verb,move-forward,fused,23,lab,1.0
148,lab,supervisor,gest_verb,move-forward,audio,22,lab,0.9999999999456038
149,lab,supervisor,gest_verb,move-forward,clip,22,lab,1.0
150,lab,supervisor,gest_verb,move-forward,audio,23,lab,0.9999999999822381
151,lab,supervisor,gest_verb,move-forward,fused,24,lab,1.0
152,lab,supervisor,gest_verb,move-forward,clip,23,lab,1.0
153,lab,supervisor,gest_verb,move-forward,fused,25,lab,1.0
154,lab,supervisor,gest_verb,move-forward,audio,24,lab,0.999999999997906
155,lab,supervisor,gest_verb,move-forward,clip,24,lab,1.0
156,lab,supervisor,gest_verb,move-forward,fused,26,lab,1.0
157,lab,supervisor,gest_verb,move-forward,audio,25,lab,0.9999999999949611
