,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
68,lab,supervisor,gest_verb,move-in-reverse,audio,25,lab,0.9999999999999988
69,lab,supervisor,gest_verb,move-in-reverse,fused,23,lab,1.0
70,lab,supervisor,gest_verb,move-in-reverse,clip,22,lab,1.0
71,lab,supervisor,gest_verb,move-in-reverse,audio,26,lab,0.9999999999999999
72,lab,supervisor,gest_verb,move-in-reverse,fused,24,lab,1.0
73,lab,supervisor,gest_verb,move-in-reverse,clip,23,lab,1.0
74,lab,supervisor,gest_verb,move-in-reverse,audio,27,lab,1.0
75,lab,supervisor,gest_verb,move-in-reverse,fused,25,lab,1.0
76,lab,supervisor,gest_verb,move-in-reverse,clip,24,lab,1.0
77,lab,supervisor,gest_verb,move-in-reverse,audio,28,lab,1.0
78,lab,supervisor,gest_verb,move-in-reverse,fused,26,lab,1.0
79,lab,supervisor,gest_verb,move-in-reverse,clip,25,lab,1.0
80,lab,supervisor,gest_verb,move-in-reverse,audio,29,lab,1.0
81,lab,supervisor,gest_verb,move-in-reverse,fused,27,lab,1.0
82,lab,supervisor,gest_verb,move-in-reverse,clip,26,lab,1.0
83,lab,supervisor,gest_verb,move-in-reverse,audio,30,lab,1.0
84,lab,supervisor,gest_verb,move-in-reverse,fused,28,lab,1.0
85,lab,supervisor,gest_verb,move-forward,fused,1,lab,0.7439357593318026
86,lab,supervisor,gest_verb,move-forward,audio,1,lab,0.8589742117428139
87,lab,supervisor,gest_verb,move-forward,audio,2,lab,0.9568377893965124
88,lab,supervisor,gest_verb,move-forward,clip,1,lab,0.878749558246583
89,lab,supervisor,gest_verb,move-forward,audio,3,lab,0.9832787369329962
90,lab,supervisor,gest_verb,move-forward,fused,2,lab,0.9844343134650192
91,lab,supervisor,gest_verb,move-forward,clip,2,lab,0.9958172193733312
92,lab,supervisor,gest_verb,move-forward,audio,4,lab,0.9958508481877167
93,lab,supervisor,gest_verb,move-forward,fused,3,lab,0.996299805038056
94,lab,supervisor,gest_verb,move-forward,clip,3,lab,0.9998335118128058
95,lab,supervisor,gest_verb,move-forward,audio,5,lab,0.9958023221127269
96,lab,supervisor,gest_verb,move-forward,fused,4,lab,0.9998239935202985
97,lab,supervisor,gest_verb,move-forward,clip,4,lab,0.9999889552657208
98,lab,supervisor,gest_verb,move-forward,audio,6,lab,0.9888529761101262
99,lab,supervisor,gest_verb,move-forward,fused,5,lab,0.9995314812540985
100,lab,supervisor,gest_verb,move-forward,clip,5,lab,0.9999992184712851
101,lab,supervisor,gest_verb,move-forward,audio,7,lab,0.9940233492224873
102,lab,supervisor,gest_verb,move-forward,fused,6,lab,0.9999651829001501
103,lab,supervisor,gest_verb,move-forward,audio,8,lab,0.9993153204675769
104,lab,supervisor,gest_verb,move-forward,clip,6,lab,0.9999999850718969
105,lab,supervisor,gest_verb,move-forward,audio,9,lab,0.9996710642352323
106,lab,supervisor,gest_verb,move-forward,fused,7,lab,0.9999834661275022
107,lab,supervisor,gest_verb,move-forward,clip,7,lab,0.9999999996635941
108,lab,supervisor,gest_verb,move-forward,audio,10,lab,0.9999383670005664
109,lab,supervisor,gest_verb,move-forward,fused,8,lab,0.9999996281099598
110,lab,supervisor,gest_verb,move-forward,clip,8,lab,0.9999999999845227
111,lab,supervisor,gest_verb,move-forward,fused,9,lab,0.9999999308049801
112,lab,supervisor,gest_verb,move-forward,clip,9,lab,0.9999999999992264
113,lab,supervisor,gest_verb,move-forward,audio,11,lab,0.9999635388972817
114,lab,supervisor,gest_verb,move-forward,fused,10,lab,0.9999999963423106
115,lab,supervisor,gest_verb,move-forward,clip,10,lab,0.9999999999999256
116,lab,supervisor,gest_verb,move-forward,fused,11,lab,0.9999999978425608
117,lab,supervisor,gest_verb,move-forward,audio,12,lab,0.9999907827981765
118,lab,supervisor,gest_verb,move-forward,clip,11,lab,0.9999999999999974
119,lab,supervisor,gest_verb,move-forward,fused,12,lab,0.9999999999258895
120,lab,supervisor,gest_verb,move-forward,audio,13,lab,0.9999961502600164
121,lab,supervisor,gest_verb,move-forward,clip,12,lab,0.9999999999999999
122,lab,supervisor,gest_verb,move-forward,fused,13,lab,0.9999999999687497
123,lab,supervisor,gest_verb,move-forward,audio,14,lab,0.9999988003553085
124,lab,supervisor,gest_verb,move-forward,clip,13,lab,1.0
125,lab,supervisor,gest_verb,move-forward,fused,14,lab,0.999999999998738
126,lab,supervisor,gest_verb,move-forward,audio,15,lab,0.9999970556507943
127,lab,supervisor,gest_verb,move-forward,clip,14,lab,1.0
128,lab,supervisor,gest_verb,move-forward,fused,15,lab,0.999999999996783
129,lab,supervisor,gest_verb,move-forward,audio,16,lab,0.9999975074940033
130,lab,supervisor,gest_verb,move-forward,clip,15,lab,1.0
131,lab,supervisor,gest_verb,move-forward,fused,16,lab,0.9999999999996282
132,lab,supervisor,gest_verb,move-forward,fused,17,lab,0.9999999999996845
133,lab,supervisor,gest_verb,move-forward,audio,17,lab,0.9999997187239045
134,lab,supervisor,gest_verb,move-forward,clip,16,lab,1.0
135,lab,supervisor,gest_verb,move-forward,fused,18,lab,0.9999999999999624
136,lab,supervisor,gest_verb,move-forward,clip,17,lab,1.0
137,lab,supervisor,gest_verb,move-forward,audio,18,lab,0.9999998988657797
138,lab,supervisor,gest_verb,move-forward,fused,19,lab,0.9999999999999865
139,lab,supervisor,gest_verb,move-forward,clip,18,lab,1.0
140,lab,supervisor,gest_verb,move-forward,audio,19,lab,0.999999989801197
141,lab,supervisor,gest_verb,move-forward,fused,20,lab,0.9999999999999997
142,lab,supervisor,gest_verb,move-forward,clip,19,lab,1.0
143,lab,supervisor,gest_verb,move-forward,fused,21,lab,1.0
144,lab,supervisor,gest_verb,move-forward,audio,20,lab,0.9999999981346951
145,lab,supervisor,gest_verb,move-forward,clip,20,lab,1.0
146,lab,supervisor,gest_verb,move-forward,fused,22,lab,1.0
147,lab,supervisor,gest_verb,move-forward,audio,21,lab,0.999999999625811
148,lab,supervisor,gest_verb,move-forward,clip,21,lab,1.0
149,lab,supervisor,gest_verb,move-forward,fused,23,lab,1.0
150,lab,supervisor,gest_verb,move-forward,clip,22,lab,1.0
151,lab,supervisor,gest_verb,move-forward,audio,22,lab,0.9999999999479354
152,lab,supervisor,gest_verb,move-forward,audio,23,lab,0.999999999986555
153,lab,supervisor,gest_verb,move-forward,fused,24,lab,1.0
154,lab,supervisor,gest_verb,move-forward,clip,23,lab,1.0
155,lab,supervisor,gest_verb,move-forward,fused,25,lab,1.0
156,lab,supervisor,gest_verb,move-forward,audio,24,lab,0.9999999999984904
157,lab,supervisor,gest_verb,move-forward,clip,24,lab,1.0
158,lab,supervisor,gest_verb,move-forward,fused,26,lab,1.0
159,lab,supervisor,gest_verb,move-forward,audio,25,lab,0.9999999999996768
160,lab,supervisor,gest_verb,move-forward,clip,25,lab,1.0
161,lab,supervisor,gest_verb,move-forward,fused,27,lab,1.0
