,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
77,lab,supervisor,gest_verb,move-in-reverse,audio,28,lab,1.0
78,lab,supervisor,gest_verb,move-in-reverse,clip,25,lab,0.9788457725694092
79,lab,supervisor,gest_verb,move-in-reverse,fused,26,lab,0.9999999999987836
80,lab,supervisor,gest_verb,move-in-reverse,audio,29,lab,1.0
81,lab,supervisor,gest_verb,move-in-reverse,fused,27,lab,0.9999999999989656
82,lab,supervisor,gest_verb,move-in-reverse,clip,26,lab,0.981868355955264
83,lab,supervisor,gest_verb,move-in-reverse,audio,30,lab,1.0
84,lab,supervisor,gest_verb,move-in-reverse,fused,28,lab,0.9999999999998932
85,lab,supervisor,gest_verb,move-forward,fused,1,lab,0.5355341339113099
86,lab,supervisor,gest_verb,move-forward,audio,1,lab,0.8686428875389512
87,lab,supervisor,gest_verb,move-forward,audio,2,lab,0.965601411000866
88,lab,supervisor,gest_verb,move-forward,clip,1,lab,0.5383538039538746
89,lab,supervisor,gest_verb,move-forward,fused,2,lab,0.8016105202326369
90,lab,supervisor,gest_verb,move-forward,audio,3,lab,0.992209457221973
91,lab,supervisor,gest_verb,move-forward,clip,2,lab,0.5791233569890494
92,lab,supervisor,gest_verb,move-forward,fused,3,lab,0.8269619875778076
93,lab,supervisor,gest_verb,move-forward,audio,4,lab,0.9970246182909098
94,lab,supervisor,gest_verb,move-forward,clip,3,lab,0.6165518354877927
95,lab,supervisor,gest_verb,move-forward,fused,4,lab,0.9075352338051987
96,lab,supervisor,gest_verb,move-forward,audio,5,lab,0.9979381813751067
97,lab,supervisor,gest_verb,move-forward,clip,4,lab,0.6504459078747722
98,lab,supervisor,gest_verb,move-forward,audio,6,lab,0.9927961873883612
99,lab,supervisor,gest_verb,move-forward,fused,5,lab,0.919084771609279
100,lab,supervisor,gest_verb,move-forward,clip,5,lab,0.6845322051197288
101,lab,supervisor,gest_verb,move-forward,audio,7,lab,0.9971839687881735
102,lab,supervisor,gest_verb,move-forward,fused,6,lab,0.9678631629574992
103,lab,supervisor,gest_verb,move-forward,audio,8,lab,0.9996822543501468
104,lab,supervisor,gest_verb,move-forward,clip,6,lab,0.7186938495637778
105,lab,supervisor,gest_verb,move-forward,fused,7,lab,0.9725725580821915
106,lab,supervisor,gest_verb,move-forward,audio,9,lab,0.9998872445535449
107,lab,supervisor,gest_verb,move-forward,clip,7,lab,0.7503790500708241
108,lab,supervisor,gest_verb,move-forward,fused,8,lab,0.9901974070538175
109,lab,supervisor,gest_verb,move-forward,audio,10,lab,0.9999735085493279
110,lab,supervisor,gest_verb,move-forward,fused,9,lab,0.9916565531824644
111,lab,supervisor,gest_verb,move-forward,clip,8,lab,0.7788353955099583
112,lab,supervisor,gest_verb,move-forward,fused,10,lab,0.9980049211977975
113,lab,supervisor,gest_verb,move-forward,audio,11,lab,0.9999921487314051
114,lab,supervisor,gest_verb,move-forward,clip,9,lab,0.8047578770728592
115,lab,supervisor,gest_verb,move-forward,fused,11,lab,0.9982949991124765
116,lab,supervisor,gest_verb,move-forward,clip,10,lab,0.8271631182116254
117,lab,supervisor,gest_verb,move-forward,audio,12,lab,0.9999985531767953
118,lab,supervisor,gest_verb,move-forward,fused,12,lab,0.9996880205156857
119,lab,supervisor,gest_verb,move-forward,clip,11,lab,0.8489376636217325
120,lab,supervisor,gest_verb,move-forward,audio,13,lab,0.9999995815660759
121,lab,supervisor,gest_verb,move-forward,fused,13,lab,0.9997343062868619
122,lab,supervisor,gest_verb,move-forward,clip,12,lab,0.8681822430407011
123,lab,supervisor,gest_verb,move-forward,fused,14,lab,0.999922072171653
124,lab,supervisor,gest_verb,move-forward,audio,14,lab,0.9999996398122887
125,lab,supervisor,gest_verb,move-forward,clip,13,lab,0.8853970659365618
126,lab,supervisor,gest_verb,move-forward,fused,15,lab,0.9999335657241556
127,lab,supervisor,gest_verb,move-forward,audio,15,lab,0.9999994978475394
128,lab,supervisor,gest_verb,move-forward,clip,14,lab,0.9008115984132796
129,lab,supervisor,gest_verb,move-forward,fused,16,lab,0.999906750751015
130,lab,supervisor,gest_verb,move-forward,audio,16,lab,0.9999999176774214
131,lab,supervisor,gest_verb,move-forward,clip,15,lab,0.9135733755412216
132,lab,supervisor,gest_verb,move-forward,fused,17,lab,0.9999198823428876
133,lab,supervisor,gest_verb,move-forward,audio,17,lab,0.9999999431257525
134,lab,supervisor,gest_verb,move-forward,clip,16,lab,0.9244410565653062
135,lab,supervisor,gest_verb,move-forward,fused,18,lab,0.9999446482987252
136,lab,supervisor,gest_verb,move-forward,clip,17,lab,0.9349919638275352
137,lab,supervisor,gest_verb,move-forward,fused,19,lab,0.999952914511416
