,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.05306685044796692,0.9468565740102611,7.657554177195804e-05
teammate,7.971303308090873e-05,0.9981666002391391,0.001753686727779992
supervisor,7.766387076731904e-05,7.766387076731904e-05,0.9998446722584654
