,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,635.0,38017.0,0.0,0.0
courtyard_actual,0.0,42907.0,0.0,0.0
lab_actual,0.0,0.0,42192.0,0.0
lobby_actual,0.0,1.0,35090.0,6348.0
