,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38151.0,489.0,12.0,0.0
courtyard_actual,39496.0,2462.0,948.0,1.0
lab_actual,0.0,0.0,39175.0,3017.0
lobby_actual,347.0,482.0,33.0,40577.0
