,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38152.0,490.0,13.0,1.0
courtyard_actual,39497.0,2463.0,949.0,2.0
lab_actual,1.0,1.0,39176.0,3018.0
lobby_actual,348.0,483.0,34.0,40578.0
