,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,31513.0,297.0,4307.0,2539.0
courtyard_actual,25071.0,6162.0,11537.0,141.0
lab_actual,1.0,1.0,38290.0,3904.0
lobby_actual,1.0,1.0,1.0,41440.0
